Year,Category,Amount
2015,Solid Waste Management,10
2015,Parks & Recreation,2
2015,Highways and Roads,15
2015,Public Welfare,20
2015,Consulting Services,20
2016,Solid Waste Management,10
2016,Parks & Recreation,2
2016,Highways and Roads,10
2016,Public Welfare,22
2016,Consulting Services,24
2017,Solid Waste Management,10
2017,Parks & Recreation,2
2017,Highways and Roads,12
2017,Public Welfare,2
2017,Consulting Services,22
2018,Solid Waste Management,10
2018,Parks & Recreation,2
2018,Highways and Roads,15
2018,Public Welfare,25
2018,Consulting Services,15
2019,Solid Waste Management,12
2019,Parks & Recreation,2
2019,Highways and Roads,11
2019,Public Welfare,14
2019,Consulting Services,30
2020,Solid Waste Management,20
2020,Parks & Recreation,1
2020,Highways and Roads,5
2020,Public Welfare,20
2020,Consulting Services,25
